ID_Pedido,Data_Compra,Cliente_ID,Produto,Categoria,Quantidade,Preco_Unitario,Status_Entrega,Total_Venda
1001,2026-06-25,109,Smartwatch,Eletrônicos,1.0,5999.9,Cancelado,5999.9
1002,2026-06-13,135,Smartwatch,Eletrônicos,3.0,8500.0,Entregue,25500.0
1003,2026-06-05,113,Smartwatch,Acessórios,3.0,799.5,Entregue,2398.5
1004,2026-06-20,130,Smartwatch,Acessórios,4.0,2100.0,Entregue,8400.0
1005,2026-06-25,147,Smartwatch,Acessórios,4.0,850.0,Cancelado,3400.0
1006,2026-06-29,114,Fone de Ouvido,Eletrônicos,3.0,5999.9,Entregue,17999.699999999997
1007,2026-06-09,107,Notebook,Eletrônicos,3.0,8500.0,Entregue,25500.0
1008,2026-06-18,113,Smartwatch,Acessórios,3.0,799.5,Entregue,2398.5
1009,2026-07-03,122,Smartphone,Acessórios,3.0,2100.0,Entregue,6300.0
1010,2026-06-15,139,Smartphone,Acessórios,3.0,850.0,Entregue,2550.0
1011,2026-06-23,120,Smartphone,Eletrônicos,3.0,5999.9,Entregue,17999.699999999997
1012,2026-06-20,115,Smartphone,Eletrônicos,4.0,8500.0,Entregue,34000.0
1013,2026-07-03,144,Fone de Ouvido,Acessórios,4.0,799.5,Pendente,3198.0
1014,2026-07-04,117,Smartphone,Acessórios,3.0,2100.0,Pendente,6300.0
1015,2026-06-22,146,Smartwatch,Acessórios,1.0,850.0,Entregue,850.0
1017,2026-07-14,125,Smartphone,Eletrônicos,4.0,8500.0,Entregue,34000.0
1018,2026-07-11,124,Fone de Ouvido,Acessórios,2.0,799.5,Entregue,1599.0
1019,2026-06-26,144,Fone de Ouvido,Acessórios,4.0,2100.0,Entregue,8400.0
1020,2026-07-18,140,Smartphone,Acessórios,4.0,850.0,Entregue,3400.0
1021,2026-06-30,128,Teclado Mecânico,Eletrônicos,2.0,5999.9,Entregue,11999.8
1022,2026-07-02,114,Smartphone,Eletrônicos,3.0,8500.0,Entregue,25500.0
1023,2026-07-22,144,Fone de Ouvido,Acessórios,4.0,799.5,Entregue,3198.0
1024,2026-07-01,100,Notebook,Acessórios,2.0,2100.0,Entregue,4200.0
1025,2026-07-14,124,Smartwatch,Acessórios,1.0,850.0,Entregue,850.0
1026,2026-06-27,106,Fone de Ouvido,Eletrônicos,3.0,5999.9,Entregue,17999.699999999997
1027,2026-07-22,108,Smartphone,Eletrônicos,1.0,8500.0,Entregue,8500.0
1028,2026-07-27,123,Smartwatch,Acessórios,1.0,799.5,Entregue,799.5
1029,2026-07-02,100,Smartphone,Acessórios,2.0,2100.0,Entregue,4200.0
1030,2026-07-10,143,Smartphone,Acessórios,4.0,850.0,Entregue,3400.0
1032,2026-07-21,123,Smartwatch,Eletrônicos,2.0,8500.0,Entregue,17000.0
1033,2026-07-08,110,Smartwatch,Acessórios,2.0,799.5,Entregue,1599.0
1034,2026-07-13,116,Notebook,Acessórios,2.0,2100.0,Entregue,4200.0
1035,2026-07-07,107,Fone de Ouvido,Acessórios,3.0,850.0,Entregue,2550.0
1036,2026-07-25,134,Smartphone,Eletrônicos,4.0,5999.9,Entregue,23999.6
1037,2026-07-13,134,Teclado Mecânico,Eletrônicos,1.0,8500.0,Pendente,8500.0
1038,2026-07-22,132,Smartphone,Acessórios,1.0,799.5,Entregue,799.5
1039,2026-07-13,104,Smartphone,Acessórios,4.0,2100.0,Entregue,8400.0
1040,2026-07-14,141,Fone de Ouvido,Acessórios,1.0,850.0,Entregue,850.0
1041,2026-08-01,138,Smartphone,Eletrônicos,4.0,5999.9,Entregue,23999.6
1042,2026-07-15,140,Notebook,Eletrônicos,1.0,8500.0,Entregue,8500.0
1043,2026-07-16,127,Notebook,Acessórios,2.0,799.5,Entregue,1599.0
1044,2026-07-29,106,Smartwatch,Acessórios,1.0,2100.0,Cancelado,2100.0
1045,2026-07-31,108,Teclado Mecânico,Acessórios,4.0,850.0,Pendente,3400.0
1046,2026-07-17,107,Smartphone,Eletrônicos,4.0,5999.9,Pendente,23999.6
1047,2026-07-18,111,Smartphone,Eletrônicos,4.0,8500.0,Entregue,34000.0
1048,2026-08-03,133,Fone de Ouvido,Acessórios,4.0,799.5,Entregue,3198.0
1049,2026-07-20,132,Notebook,Acessórios,4.0,2100.0,Entregue,8400.0
1050,2026-08-01,147,Teclado Mecânico,Acessórios,3.0,850.0,Entregue,2550.0
1052,2026-07-30,123,Notebook,Eletrônicos,1.0,8500.0,Pendente,8500.0
1053,2026-08-03,136,Smartwatch,Acessórios,4.0,799.5,Entregue,3198.0
1054,2026-07-30,134,Fone de Ouvido,Acessórios,1.0,2100.0,Cancelado,2100.0
1055,2026-08-22,143,Fone de Ouvido,Acessórios,4.0,850.0,Entregue,3400.0
1056,2026-08-21,139,Smartphone,Eletrônicos,4.0,5999.9,Pendente,23999.6
1057,2026-08-08,121,Teclado Mecânico,Eletrônicos,3.0,8500.0,Entregue,25500.0
1058,2026-08-21,126,Smartwatch,Acessórios,3.0,799.5,Entregue,2398.5
1059,2026-08-08,134,Notebook,Acessórios,2.0,2100.0,Entregue,4200.0
1060,2026-08-21,100,Fone de Ouvido,Acessórios,3.0,850.0,Entregue,2550.0
1061,2026-08-24,134,Smartphone,Eletrônicos,2.0,5999.9,Entregue,11999.8
1062,2026-08-14,136,Smartphone,Eletrônicos,2.0,8500.0,Cancelado,17000.0
